Gene	cancer	HR	pvalue
ILK	READ	1.287	0.22
ITPRIPL2	READ	0.792	0.22
KDM2B	READ	0.76	0.22
LILRB5	READ	1.319	0.22
LYPD6	READ	0.755	0.22
MCC	READ	1.323	0.22
MS4A8	READ	0.779	0.22
NDUFA3	READ	1.302	0.22
PDGFRB	READ	1.302	0.22
PRKACA	READ	1.274	0.22
RASAL2	READ	1.3	0.22
RREB1	READ	0.76	0.22
SGIP1	READ	1.318	0.22
SLC26A10	READ	1.316	0.22
SLC47A1	READ	1.268	0.22
SSPO	READ	0.75	0.22
SUFU	READ	1.36	0.22
TM6SF2	READ	0.769	0.22
TSPAN14	READ	1.278	0.22
ZC3H6	READ	1.266	0.22
ZC3H7A	READ	0.771	0.22
ZFHX4	READ	1.334	0.22
ZNRF3	READ	0.751	0.22
ABHD2	READ	0.78	0.23
AK9	READ	0.763	0.23
CYP27A1	READ	1.291	0.23
DRAP1	READ	1.252	0.23
FANCA	READ	0.783	0.23
FCN1	READ	1.306	0.23
GCHFR	READ	1.333	0.23
GPRIN1	READ	1.333	0.23
HIST1H2BD	READ	1.328	0.23
HLA-A	READ	0.767	0.23
HTT	READ	0.755	0.23
KIAA1244	READ	0.786	0.23
KIAA1267	READ	0.75	0.23
NTRK3	READ	1.287	0.23
PANK2	READ	0.75	0.23
C1QTNF9B-AS1	READ	0.769	0.23
PER1	READ	1.279	0.23
PRCC	READ	1.287	0.23
PTGIR	READ	1.279	0.23
RABL2A	READ	0.785	0.23
SCARF1	READ	1.296	0.23
SPATA17	READ	0.778	0.23
SSBP3	READ	0.761	0.23
TTN	READ	0.796	0.23
UMODL1	READ	1.256	0.23
ZC3H12A	READ	0.749	0.23
ZNF493	READ	0.78	0.23
ZNF514	READ	0.771	0.23
ZNF660	READ	0.772	0.23
ARHGEF2	READ	1.298	0.24
BTBD16	READ	1.318	0.24
C16ORF72	READ	0.791	0.24
C4ORF29	READ	0.757	0.24
CADPS	READ	0.773	0.24
CELSR2	READ	0.77	0.24
CHPF	READ	1.271	0.24
CLEC4E	READ	1.272	0.24
COG7	READ	0.781	0.24
CSNK1A1L	READ	0.759	0.24
CYP4F8	READ	1.319	0.24
EIF4A3	READ	0.757	0.24
GJC3	READ	0.781	0.24
GPR128	READ	0.78	0.24
SLC52A1	READ	0.789	0.24
H3F3A	READ	1.312	0.24
HOOK2	READ	0.765	0.24
INSIG2	READ	1.319	0.24
KIAA1279	READ	1.342	0.24
LSS	READ	0.783	0.24
MATN2	READ	0.801	0.24
NAGK	READ	1.259	0.24
TENM4	READ	1.283	0.24
PAQR8	READ	0.778	0.24
PRR5-ARHGAP8	READ	0.774	0.24
QDPR	READ	0.788	0.24
RORA	READ	1.304	0.24
SDHB	READ	0.785	0.24
SLC1A4	READ	1.287	0.24
SLC9A1	READ	0.776	0.24
TBC1D14	READ	0.752	0.24
TMC7	READ	0.78	0.24
NME9	READ	0.765	0.24
VSIG2	READ	0.795	0.24
ZBTB7B	READ	1.303	0.24
ZNF114	READ	1.277	0.24
ZNF235	READ	0.764	0.24
ZNF285	READ	1.278	0.24
ZSCAN32	READ	0.784	0.24
ZRSR2	READ	1.339	0.24
ADRA1D	READ	1.345	0.25
AK1	READ	1.336	0.25
ATP1A2	READ	1.299	0.25
ATR	READ	0.781	0.25
C11ORF82	READ	0.745	0.25
C2ORF49	READ	1.248	0.25
CACNA1D	READ	0.773	0.25
CAMTA2	READ	1.307	0.25
CD8B	READ	0.782	0.25
CELF3	READ	1.278	0.25
CORT	READ	0.774	0.25
CRKL	READ	0.768	0.25
DGKZ	READ	0.778	0.25
FAM102A	READ	1.313	0.25
IGF2BP3	READ	1.272	0.25
ITPR1	READ	1.283	0.25
KLF3	READ	0.782	0.25
KY	READ	1.307	0.25
LEF1	READ	1.214	0.25
LIMCH1	READ	1.302	0.25
LRP1	READ	1.349	0.25
MOCOS	READ	0.798	0.25
MTCH1	READ	0.784	0.25
NFKBIE	READ	1.267	0.25
NTRK1	READ	1.284	0.25
PIRT	READ	1.315	0.25
PLLP	READ	0.761	0.25
RBM43	READ	1.264	0.25
SBF2	READ	0.773	0.25
SETBP1	READ	1.276	0.25
SLC20A1	READ	1.297	0.25
SPARC	READ	1.282	0.25
SYNCRIP	READ	0.763	0.25
TCTEX1D4	READ	0.769	0.25
TOMM22	READ	0.774	0.25
UFSP2	READ	1.294	0.25
USHBP1	READ	1.263	0.25
ZNF860	READ	0.766	0.25
A1BG	READ	1.288	0.26
AQP12B	READ	0.777	0.26
ARRDC2	READ	1.261	0.26
ATP9A	READ	0.771	0.26
BCAS2	READ	0.763	0.26
SAMD15	READ	1.283	0.26
C1ORF170	READ	1.294	0.26
CAMK1	READ	1.289	0.26
CCDC64	READ	1.267	0.26
CNOT1	READ	0.787	0.26
DDX12P	READ	0.795	0.26
ENTPD8	READ	1.252	0.26
EP300	READ	0.773	0.26
ETNK1	READ	0.796	0.26
GOLGA2P5	READ	0.802	0.26
HIST1H3B	READ	0.78	0.26
HOXA3	READ	1.259	0.26
JAK1	READ	0.785	0.26
SMIM4	READ	0.777	0.26
SLC25A52	READ	0.796	0.26
NUP155	READ	0.782	0.26
POF1B	READ	0.786	0.26
POU2AF1	READ	0.801	0.26
PTPRJ	READ	1.275	0.26
RARA	READ	1.267	0.26
RFXANK	READ	1.289	0.26
SIX1	READ	1.223	0.26
SLC30A10	READ	0.768	0.26
TMEM233	READ	1.267	0.26
TNFSF12-TNFSF13	READ	1.315	0.26
TXNRD3NB	READ	0.797	0.26
UCN2	READ	0.789	0.26
VAV2	READ	1.282	0.26
ZNF48	READ	0.788	0.26
ZNF547	READ	1.263	0.26
ZNF565	READ	0.795	0.26
AMPD3	READ	0.78	0.27
BEST2	READ	0.749	0.27
TEX40	READ	0.77	0.27
C17ORF49	READ	1.252	0.27
FAM229B	READ	1.279	0.27
CHD3	READ	1.289	0.27
CLCA4	READ	0.793	0.27
CLEC4G	READ	1.273	0.27
CYP20A1	READ	0.802	0.27
DFNB59	READ	1.276	0.27
GNB3	READ	0.819	0.27
HAVCR1	READ	0.779	0.27
IQSEC3	READ	1.266	0.27
ITLN2	READ	0.769	0.27
KIAA0247	READ	1.28	0.27
KIAA0368	READ	0.773	0.27
KIAA1737	READ	0.775	0.27
MCL1	READ	1.255	0.27
MSTN	READ	0.766	0.27
MTHFSD	READ	1.237	0.27
NRD1	READ	0.765	0.27
NTM	READ	1.276	0.27
PGS1	READ	0.778	0.27
POLE	READ	0.772	0.27
POLR3B	READ	0.812	0.27
PSRC1	READ	0.796	0.27
RB1	READ	0.786	0.27
REL	READ	0.799	0.27
RFWD2	READ	1.293	0.27
SECISBP2L	READ	1.302	0.27
SS18L2	READ	0.788	0.27
TBC1D17	READ	1.245	0.27
TMEM136	READ	1.274	0.27
TMEM182	READ	1.274	0.27
TMEM201	READ	0.783	0.27
VWA5B2	READ	1.246	0.27
WFDC10B	READ	1.221	0.27
YWHAZ	READ	1.279	0.27
ZC3HAV1L	READ	0.807	0.27
ZNF491	READ	1.257	0.27
ZNF606	READ	1.265	0.27
ADRBK1	READ	1.289	0.28
BTN2A1	READ	0.795	0.28
RIIAD1	READ	1.257	0.28
C2ORF61	READ	0.761	0.28
FAM228A	READ	1.271	0.28
CDK12	READ	0.78	0.28
CSNK1D	READ	0.781	0.28
DDX42	READ	0.765	0.28
DECR2	READ	0.777	0.28
EWSR1	READ	0.769	0.28
FAM177A1	READ	1.286	0.28
FRY	READ	1.27	0.28
GPBP1L1	READ	0.794	0.28
GRAMD2	READ	0.775	0.28
LYPD5	READ	0.808	0.28
METTL2B	READ	0.77	0.28
MLLT4	READ	0.749	0.28
MSH6	READ	0.782	0.28
NME4	READ	1.26	0.28
NR2F2	READ	1.27	0.28
NUBP2	READ	0.783	0.28
NUP98	READ	0.791	0.28
PODN	READ	1.268	0.28
PPP2R5C	READ	1.283	0.28
SCOC	READ	1.285	0.28
SDR42E1	READ	0.804	0.28
SLC30A2	READ	0.799	0.28
SMARCB1	READ	0.777	0.28
STBD1	READ	1.237	0.28
TACC2	READ	1.289	0.28
TBX3	READ	0.79	0.28
WASF2	READ	0.779	0.28
WHSC1	READ	0.771	0.28
ZCCHC14	READ	0.8	0.28
A1CF	READ	1.266	0.29
BBS7	READ	0.776	0.29
CDH1	READ	0.785	0.29
CSDE1	READ	0.784	0.29
CYP2R1	READ	0.805	0.29
DDIT3	READ	1.243	0.29
DRP2	READ	1.214	0.29
FAM188A	READ	1.261	0.29
FAM86C1	READ	0.804	0.29
FAT1	READ	0.79	0.29
H1FX	READ	1.24	0.29
HDLBP	READ	1.242	0.29
HIST1H2AC	READ	1.271	0.29
KDR	READ	1.276	0.29
LPPR4	READ	1.249	0.29
LPP	READ	1.258	0.29
MAPK1	READ	0.795	0.29
MED1	READ	0.773	0.29
MOGAT3	READ	0.787	0.29
NUDT16	READ	0.804	0.29
PCDH19	READ	0.812	0.29
PYGO2	READ	1.21	0.29
QKI	READ	1.258	0.29
RGP1	READ	0.808	0.29
SELPLG	READ	1.256	0.29
TEK	READ	1.254	0.29
TMED1	READ	1.27	0.29
TMEM133	READ	0.798	0.29
TMEM178A	READ	0.796	0.29
TMEM67	READ	0.774	0.29
ZFP69B	READ	0.797	0.29
ZNF845	READ	0.798	0.29
ZSCAN23	READ	1.237	0.29
ACPL2	READ	0.793	0.3
ADAMTSL2	READ	1.239	0.3
ARID2	READ	0.804	0.3
ATP5L2	READ	0.781	0.3
MROH6	READ	1.262	0.3
CCDC104	READ	1.249	0.3
CHRFAM7A	READ	0.817	0.3
CLTC	READ	0.794	0.3
EXOC3L1	READ	1.227	0.3
FAM3A	READ	1.241	0.3
TMEM255A	READ	1.261	0.3
HDX	READ	1.241	0.3
IGSF9	READ	1.278	0.3
TRAPPC8	READ	1.266	0.3
MLXIP	READ	0.803	0.3
MSH3	READ	0.809	0.3
MSI2	READ	0.808	0.3
NCOR1	READ	0.796	0.3
NR1D1	READ	1.247	0.3
OSBPL9	READ	0.782	0.3
PDZD11	READ	1.236	0.3
PTEN	READ	1.256	0.3
RAB38	READ	0.81	0.3
DROSHA	READ	0.787	0.3
RND3	READ	1.257	0.3
RUFY4	READ	0.766	0.3
RUNX1T1	READ	1.244	0.3
SHB	READ	1.277	0.3
SLAMF9	READ	1.256	0.3
SLC9A7	READ	1.229	0.3
SRRM1	READ	0.779	0.3
TMEM194B	READ	1.253	0.3
TNC	READ	1.238	0.3
UBE2H	READ	1.244	0.3
ZNF200	READ	0.808	0.3
ZNF630	READ	1.269	0.3
ZNF766	READ	0.781	0.3
ASXL2	READ	0.821	0.31
AXIN2	READ	0.806	0.31
BIRC6	READ	0.817	0.31
BRD2	READ	0.796	0.31
C10ORF111	READ	0.783	0.31
C16ORF13	READ	0.791	0.31
C17ORF100	READ	0.81	0.31
RRNAD1	READ	1.216	0.31
C9ORF169	READ	0.785	0.31
CDK8	READ	0.805	0.31
CLDND2	READ	0.807	0.31
DDB1	READ	0.781	0.31
DHRS7B	READ	1.248	0.31
ETF1	READ	0.805	0.31
EXT2	READ	0.811	0.31
ZC2HC1A	READ	1.272	0.31
NUTM2F	READ	0.796	0.31
FNDC4	READ	1.236	0.31
GLTP	READ	1.206	0.31
IL12RB1	READ	0.809	0.31
KLHDC7A	READ	0.803	0.31
LAX1	READ	0.801	0.31
LGALS2	READ	0.801	0.31
LILRA5	READ	1.242	0.31
LITAF	READ	0.834	0.31
LMO2	READ	1.242	0.31
LOC81691	READ	0.79	0.31
LRRCC1	READ	0.791	0.31
MSN	READ	1.241	0.31
MTCP1	READ	0.789	0.31
NBN	READ	0.807	0.31
NBPF15	READ	0.809	0.31
PAF1	READ	1.223	0.31
PDGFRA	READ	0.807	0.31
PRDM10	READ	0.793	0.31
ROBO2	READ	0.813	0.31
SPTAN1	READ	0.793	0.31
SYNE1	READ	1.251	0.31
THEM5	READ	0.799	0.31
TMEM220	READ	0.821	0.31
TNRC6B	READ	0.775	0.31
ZNF213	READ	0.8	0.31
ZNF252P	READ	0.802	0.31
ABP1	READ	1.25	0.32
ACO2	READ	0.821	0.32
ALDH3B2	READ	0.805	0.32
VSTM4	READ	1.23	0.32
C12ORF44	READ	1.257	0.32
C21ORF88	READ	0.815	0.32
SMDT1	READ	0.805	0.32
C2ORF82	READ	1.191	0.32
ECHDC2	READ	0.819	0.32
EID2B	READ	1.219	0.32
ELK4	READ	1.216	0.32
EVPLL	READ	0.796	0.32
GP2	READ	0.783	0.32
KCNS3	READ	1.22	0.32
MEGF8	READ	1.273	0.32
MEX3B	READ	1.27	0.32
MYO1A	READ	0.81	0.32
NBPF14	READ	0.816	0.32
PCDHB10	READ	1.232	0.32
PIK3R2	READ	0.805	0.32
PLAC8L1	READ	0.806	0.32
PPP1CA	READ	1.255	0.32
PTPN6	READ	1.239	0.32
RENBP	READ	1.187	0.32
RRBP1	READ	0.822	0.32
TEKT4	READ	0.806	0.32
TESC	READ	1.225	0.32
SYNDIG1	READ	1.254	0.32
TRIM33	READ	0.796	0.32
TUBA8	READ	1.257	0.32
UCN3	READ	0.82	0.32
WDR83	READ	1.225	0.32
WDR88	READ	0.808	0.32
ZFP112	READ	0.804	0.32
ZNF211	READ	1.229	0.32
ZNF793	READ	1.241	0.32
ZNF83	READ	1.234	0.32
ZNF90	READ	0.789	0.32
ZSWIM1	READ	0.806	0.32
ARHGEF12	READ	0.8	0.33
BCL2L11	READ	1.221	0.33
MEDAG	READ	1.225	0.33
C14ORF181	READ	0.835	0.33
SMIM15	READ	1.227	0.33
C8G	READ	1.224	0.33
C8ORF59	READ	1.241	0.33
TMEM246	READ	0.834	0.33
CA2	READ	0.839	0.33
CCDC40	READ	0.821	0.33
CPXM1	READ	1.241	0.33
DPY19L2	READ	1.217	0.33
EED	READ	0.806	0.33
ELL	READ	1.236	0.33
FAM123B	READ	0.8	0.33
FAM160A2	READ	0.778	0.33
FAM166B	READ	0.807	0.33
FAM90A1	READ	1.225	0.33
FANCE	READ	0.843	0.33
FHIT	READ	0.815	0.33
FLI1	READ	1.231	0.33
GPR75	READ	0.817	0.33
KIAA0020	READ	0.819	0.33
LAPTM5	READ	1.239	0.33
LPHN2	READ	1.235	0.33
MAML1	READ	0.811	0.33
MCM6	READ	0.797	0.33
MSL2	READ	0.8	0.33
MUC4	READ	0.803	0.33
KAT6A	READ	1.232	0.33
NAA25	READ	0.794	0.33
OTX1	READ	0.798	0.33
POGZ	READ	1.24	0.33
PPP3CA	READ	1.246	0.33
RRP12	READ	0.81	0.33
SCAND3	READ	0.808	0.33
SLC14A2	READ	0.792	0.33
STAC2	READ	1.226	0.33
SYNGR4	READ	0.798	0.33
TLN1	READ	1.245	0.33
VRK3	READ	0.787	0.33
BMPR1A	READ	1.225	0.34
C18ORF8	READ	1.215	0.34
C1RL	READ	1.233	0.34
C20ORF26	READ	0.796	0.34
C4ORF48	READ	1.238	0.34
CACFD1	READ	1.246	0.34
CHRNA1	READ	0.816	0.34
CNOT3	READ	1.24	0.34
COL11A1	READ	1.223	0.34
DDX21	READ	0.816	0.34
DGKD	READ	1.243	0.34
ERCC2	READ	1.235	0.34
EVC2	READ	1.222	0.34
FAM186B	READ	0.82	0.34
FBXO5	READ	0.791	0.34
FKRP	READ	1.255	0.34
FRYL	READ	0.817	0.34
KCNG3	READ	0.807	0.34
MLF1	READ	0.823	0.34
MS4A6A	READ	1.223	0.34
MYO1C	READ	1.254	0.34
NDUFS8	READ	1.235	0.34
NFATC3	READ	0.82	0.34
OR2A4	READ	0.794	0.34
PCDH9	READ	1.232	0.34
PIK3C2B	READ	1.212	0.34
PTPRT	READ	0.802	0.34
RBM42	READ	1.196	0.34
REXO1	READ	1.236	0.34
SBNO1	READ	0.827	0.34
SLC29A4	READ	1.227	0.34
SLC2A10	READ	0.832	0.34
SLC5A2	READ	0.791	0.34
SMAD9	READ	0.826	0.34
SPTY2D1	READ	0.8	0.34
SYCP2	READ	0.816	0.34
TARP	READ	0.809	0.34
TMEM206	READ	1.224	0.34
TNFRSF17	READ	0.811	0.34
TUBGCP6	READ	0.808	0.34
USP48	READ	0.804	0.34
ZNF284	READ	0.786	0.34
ZNF813	READ	0.831	0.34
BAG3	READ	1.214	0.35
TMEM260	READ	1.236	0.35
CD1B	READ	0.799	0.35
CDRT1	READ	0.814	0.35
CLASP1	READ	1.213	0.35
CYSLTR1	READ	1.216	0.35
DENND4A	READ	0.798	0.35
EVC	READ	1.226	0.35
FAM200B	READ	0.825	0.35
FASTKD2	READ	0.828	0.35
FKBP7	READ	1.244	0.35
GBAS	READ	0.802	0.35
HS6ST1	READ	1.211	0.35
HSH2D	READ	1.251	0.35
JPH4	READ	1.193	0.35
KIF19	READ	0.826	0.35
LOC401052	READ	0.847	0.35
MED12	READ	1.226	0.35
MIB1	READ	1.261	0.35
PCDHGA6	READ	1.204	0.35
PRR19	READ	1.228	0.35
SBDS	READ	1.193	0.35
SRRD	READ	0.838	0.35
TDRKH	READ	1.235	0.35
TMEM125	READ	0.808	0.35
TSHZ3	READ	1.216	0.35
TXNL1	READ	1.26	0.35
USH1C	READ	0.821	0.35
ZNF502	READ	0.812	0.35
ZNF566	READ	0.809	0.35
ZNF708	READ	0.807	0.35
ALG11	READ	0.835	0.36
APOO	READ	1.223	0.36
C16ORF89	READ	1.219	0.36
CALM2	READ	1.219	0.36
COL4A5	READ	0.814	0.36
CRISPLD1	READ	1.218	0.36
CTAGE9	READ	1.209	0.36
FAHD2B	READ	0.838	0.36
FAM46C	READ	0.823	0.36
FBLN2	READ	1.214	0.36
HOXD11	READ	1.189	0.36
KCNE2	READ	1.222	0.36
TESPA1	READ	0.828	0.36
LENG8	READ	0.801	0.36
MTF2	READ	0.809	0.36
MURC	READ	1.217	0.36
RANBP2	READ	0.813	0.36
SIGLEC8	READ	1.212	0.36
SNX30	READ	0.82	0.36
TAF15	READ	0.805	0.36
VAMP2	READ	1.203	0.36
WRNIP1	READ	0.822	0.36
YWHAG	READ	1.198	0.36
ZNF394	READ	1.191	0.36
ZNF714	READ	0.798	0.36
ABCA4	READ	0.827	0.37
ADAT1	READ	0.837	0.37
ARNT	READ	1.239	0.37
ASAP2	READ	0.843	0.37
C11ORF48	READ	1.201	0.37
C12ORF61	READ	0.846	0.37
SMG9	READ	1.218	0.37
MAP3K7CL	READ	1.198	0.37
C4A	READ	1.208	0.37
C4ORF27	READ	1.235	0.37
LRRC73	READ	1.211	0.37
FAM219A	READ	1.21	0.37
CBWD2	READ	1.226	0.37
CES3	READ	0.839	0.37
CHEK2	READ	0.794	0.37
CYP2C8	READ	0.843	0.37
FAM72B	READ	1.193	0.37
GAL3ST4	READ	1.204	0.37
HSD11B1L	READ	1.212	0.37
IKZF3	READ	0.828	0.37
WTH3DI	READ	0.845	0.37
NAP1L2	READ	1.236	0.37
NDRG1	READ	1.215	0.37
PCDHB4	READ	1.178	0.37
PDDC1	READ	0.814	0.37
PPARG	READ	0.833	0.37
R3HDML	READ	0.823	0.37
SCN3A	READ	0.833	0.37
SCRN2	READ	0.839	0.37
SFTA2	READ	1.217	0.37
SIK3	READ	0.801	0.37
TDRD5	READ	0.855	0.37
TRAT1	READ	0.827	0.37
ZFP28	READ	0.832	0.37
ZNF551	READ	0.823	0.37
ZNF862	READ	1.178	0.37
AOAH	READ	0.823	0.38
BCL3	READ	1.205	0.38
IFT43	READ	1.213	0.38
C19ORF66	READ	1.23	0.38
CLSTN2	READ	1.18	0.38
CST2	READ	1.205	0.38
CXORF21	READ	1.211	0.38
ELAVL1	READ	1.219	0.38
ENKUR	READ	0.814	0.38
EZH2	READ	0.829	0.38
FAM109B	READ	0.818	0.38
FAM151A	READ	0.81	0.38
KLF4	READ	0.85	0.38
MEPCE	READ	1.176	0.38
METTL2A	READ	0.801	0.38
MYH9	READ	0.811	0.38
PBRM1	READ	0.823	0.38
POT1	READ	0.821	0.38
PRCP	READ	1.235	0.38
PRKAR1A	READ	1.235	0.38
PTPRN	READ	1.208	0.38
RNF215	READ	1.22	0.38
SPEF2	READ	0.813	0.38
TAS2R5	READ	0.827	0.38
TRIOBP	READ	0.817	0.38
UBAP2L	READ	0.814	0.38
WDR47	READ	0.802	0.38
ZNF22	READ	0.794	0.38
ZNF785	READ	0.834	0.38
ZXDA	READ	0.842	0.38
ATP6AP1L	READ	0.836	0.39
BICD2	READ	1.251	0.39
C17ORF47	READ	1.197	0.39
CBLL1	READ	0.843	0.39
CD300LB	READ	1.21	0.39
CD58	READ	0.826	0.39
CLN6	READ	1.236	0.39
CREB3L1	READ	0.847	0.39
EFHC2	READ	0.816	0.39
ERF	READ	1.219	0.39
ETV4	READ	0.82	0.39
FAM157A	READ	0.841	0.39
FAM189A1	READ	0.844	0.39
FGFR3	READ	1.203	0.39
GNL1	READ	0.845	0.39
GPRIN2	READ	0.823	0.39
HELB	READ	0.845	0.39
KIAA0100	READ	0.837	0.39
KRT222	READ	1.197	0.39
LILRA2	READ	1.202	0.39
MFSD9	READ	0.849	0.39
MTMR9	READ	1.239	0.39
NEURL1B	READ	1.204	0.39
NT5C3	READ	1.211	0.39
P2RX5	READ	1.201	0.39
PSME4	READ	0.812	0.39
PTCH1	READ	1.229	0.39
SAC3D1	READ	1.204	0.39
SH3GL1	READ	1.209	0.39
STK11	READ	0.821	0.39
TBX10	READ	0.832	0.39
TBX18	READ	0.829	0.39
TRRAP	READ	0.826	0.39
ZNF358	READ	1.199	0.39
ADO	READ	1.227	0.4
ARHGEF10L	READ	0.818	0.4
ATP13A1	READ	1.208	0.4
C19ORF71	READ	0.828	0.4
C6ORF25	READ	0.827	0.4
CHST11	READ	1.18	0.4
CIITA	READ	0.837	0.4
DYX1C1	READ	0.84	0.4
TVP23A	READ	0.835	0.4
FOXO1	READ	1.209	0.4
GMPPA	READ	1.201	0.4
IFT27	READ	1.203	0.4
KIAA1731	READ	0.826	0.4
KRTAP5-5	READ	0.848	0.4
LZTR1	READ	0.843	0.4
MRPS24	READ	1.195	0.4
MTMR3	READ	0.834	0.4
NR4A2	READ	1.182	0.4
SCAF8	READ	0.819	0.4
RCC2	READ	0.835	0.4
RNF43	READ	0.824	0.4
SEC24B	READ	0.827	0.4
SLC35E4	READ	0.838	0.4
STK38	READ	0.839	0.4
TBCCD1	READ	0.83	0.4
TCHH	READ	1.192	0.4
TPRG1L	READ	0.837	0.4
YBX1	READ	0.846	0.4
ZNF782	READ	0.834	0.4
ANKRD39	READ	1.205	0.41
ARHGEF9	READ	1.199	0.41
AR	READ	0.826	0.41
BCLAF1	READ	0.816	0.41
C19ORF52	READ	1.192	0.41
C9ORF78	READ	1.191	0.41
CA3	READ	0.849	0.41
CBLN3	READ	1.181	0.41
CCT3	READ	1.195	0.41
CD81	READ	1.195	0.41
DUOX2	READ	0.861	0.41
GATSL3	READ	1.206	0.41
GGTLC2	READ	1.214	0.41
HEATR2	READ	0.832	0.41
ISLR2	READ	1.182	0.41
JUN	READ	1.187	0.41
LMO4	READ	1.192	0.41
LOC391322	READ	0.824	0.41
LRPAP1	READ	1.192	0.41
MFN2	READ	0.818	0.41
NLRP11	READ	0.835	0.41
NR3C1	READ	1.195	0.41
PDCL3	READ	1.227	0.41
PML	READ	1.201	0.41
PPP1R14C	READ	0.839	0.41
PRSS22	READ	1.161	0.41
PSMD7	READ	1.223	0.41
PTP4A2	READ	0.832	0.41
ROCK2	READ	0.844	0.41
RPS19	READ	1.171	0.41
SESTD1	READ	1.206	0.41
SNRPD3	READ	0.824	0.41
TP53	READ	1.185	0.41
TUFT1	READ	1.225	0.41
ZNF197	READ	0.818	0.41
ZNF585A	READ	1.221	0.41
ZNF697	READ	1.212	0.41
ZNF836	READ	0.836	0.41
ACOT1	READ	1.2	0.42
ALG1L	READ	1.192	0.42
ANKHD1	READ	0.846	0.42
C10ORF105	READ	1.218	0.42
C16ORF80	READ	1.18	0.42
OGFOD3	READ	0.848	0.42
C5ORF56	READ	0.818	0.42
CACNA1C	READ	1.211	0.42
CCDC23	READ	1.173	0.42
CDKN1B	READ	0.842	0.42
CTDSP2	READ	0.841	0.42
DNAJB6	READ	1.181	0.42
ERRFI1	READ	1.185	0.42
FITM2	READ	0.848	0.42
HDGFRP2	READ	1.157	0.42
IFFO2	READ	1.179	0.42
KIF12	READ	0.841	0.42
LY6H	READ	1.196	0.42
MRPS22	READ	0.836	0.42
PCDHB14	READ	0.842	0.42
PCDHGB3	READ	1.179	0.42
PIK3CB	READ	0.848	0.42
PRDM2	READ	0.833	0.42
PXDN	READ	1.188	0.42
RTN4	READ	0.853	0.42
SATL1	READ	1.175	0.42
SGCB	READ	1.19	0.42
SMO	READ	1.167	0.42
TMEM131	READ	0.855	0.42
TMEM156	READ	0.844	0.42
TNNI3	READ	1.234	0.42
WDR13	READ	1.182	0.42
YIPF3	READ	1.183	0.42
ZSCAN30	READ	1.204	0.42
ZNF780B	READ	0.839	0.42
AADAT	READ	0.841	0.43
ANP32B	READ	1.198	0.43
ARAF	READ	1.172	0.43
BCL11A	READ	1.188	0.43
BIRC3	READ	0.828	0.43
C3ORF58	READ	1.234	0.43
C9ORF117	READ	0.857	0.43
C9ORF172	READ	1.192	0.43
CBWD6	READ	0.834	0.43
CD1E	READ	0.833	0.43
CDH11	READ	1.188	0.43
CDKN2C	READ	1.192	0.43
CXORF40B	READ	0.838	0.43
EMD	READ	1.179	0.43
FAM53B	READ	0.858	0.43
FLRT2	READ	1.179	0.43
GLI1	READ	1.189	0.43
GNAZ	READ	0.851	0.43
GPATCH8	READ	0.822	0.43
HIST1H1C	READ	1.188	0.43
HMGA1	READ	0.854	0.43
LGALS7B	READ	1.212	0.43
MAF	READ	1.185	0.43
MRPL9	READ	1.176	0.43
MUSTN1	READ	1.163	0.43
NFATC2	READ	0.856	0.43
NOSIP	READ	1.174	0.43
NR6A1	READ	0.828	0.43
NXF1	READ	0.862	0.43
RNF145	READ	0.866	0.43
SERHL2	READ	0.848	0.43
SLC4A11	READ	1.181	0.43
SMEK1	READ	1.198	0.43
SPIN2B	READ	0.845	0.43
TBL1XR1	READ	0.85	0.43
TMEM200C	READ	0.838	0.43
TNFRSF14	READ	0.848	0.43
URB1	READ	0.857	0.43
ZNF100	READ	0.828	0.43
ZSCAN26	READ	0.852	0.43
ZSCAN9	READ	0.85	0.43
ANKFY1	READ	0.845	0.44
ANKHD1-EIF4EBP3	READ	0.846	0.44
ANKMY2	READ	0.844	0.44
ANXA11	READ	1.191	0.44
ARL17B	READ	0.841	0.44
BRF1	READ	1.16	0.44
C10ORF2	READ	0.839	0.44
C1ORF109	READ	0.824	0.44
CCDC157	READ	0.84	0.44
COL22A1	READ	1.199	0.44
COL9A1	READ	0.84	0.44
DMBX1	READ	1.193	0.44
DSG4	READ	0.858	0.44
EEF1A1	READ	0.856	0.44
FAM127B	READ	1.165	0.44
NUTM2G	READ	0.847	0.44
HIST1H2AJ	READ	0.827	0.44
HNRNPD	READ	0.848	0.44
MALT1	READ	1.194	0.44
MID1IP1	READ	1.174	0.44
NBPF16	READ	0.85	0.44
RAB32	READ	0.853	0.44
RBMX	READ	0.839	0.44
RFWD3	READ	0.837	0.44
RPS11	READ	1.163	0.44
SH3PXD2A	READ	1.188	0.44
SLC1A7	READ	0.86	0.44
SLC6A12	READ	1.165	0.44
TMED7-TICAM2	READ	0.828	0.44
ZNF37A	READ	0.833	0.44
ZNF527	READ	0.847	0.44
ZNF594	READ	0.84	0.44
ZNF768	READ	1.161	0.44
ZNF791	READ	0.835	0.44
ACVR1B	READ	0.834	0.45
ARHGAP11B	READ	0.871	0.45
ATP13A2	READ	0.843	0.45
VWA9	READ	0.87	0.45
OXLD1	READ	0.858	0.45
C21ORF59	READ	1.171	0.45
C5ORF46	READ	1.186	0.45
CACNA1H	READ	1.156	0.45
CCDC101	READ	0.848	0.45
